course_code,track_id
HUM110,GEN
HUM111,GEN
HUM412,GEN
HUM224,GEN
HUM125,GEN
HUM126,GEN
HUM228,GEN
HUM129,GEN
C-MA110,GEN
C-MA111,GEN
C-MA112,GEN
C-MA213,GEN
C-ST211,GEN
C-PH111,GEN
C-PH112,GEN
C-PH113,GEN
C-MA321,GEN
C-CS111,GEN
C-CS112,GEN
C-CS213,GEN
C-CS214,GEN
C-CS215,GEN
C-CS316,GEN
C-DE211,GEN
C-DE312,GEN
C-AI321,AI
C-AI321,SWE
C-AI321,DSE
C-CS341,CYS
C-CS351,GEN
C-CS352,GEN
C-SW311,GEN
C-AI311,GEN
C-DE324,GEN
C-SW312,GEN
C-CS218,GEN
C-CS219,GEN
C-DE413,DSE
C-DE421,DSE
C-DE414,DSE
C-DE422,DSE
C-CS417,SWE
C-CS443,CYS
C-CS442,CYS
C-MA425,CYS
C-SW423,CYS
C-SW421,SWE
C-SW422,SWE
C-SW425,SWE
C-AI422,AI
C-AI415,AI
C-CS435,AI
C-AI412,AI
C-AI413,AI
C-AI424,AI
C-CS495,GEN
C-CS496,GEN
HUM221,GEN
C-TR304,GEN
C-GP411A,GEN
C-GP411B,GEN
