course_code,name,credits,level,semester_offering,description
HUM110,English Fundamentals,0,1,Fall,"This intensive English program provides students with essential language skills to build a strong foundation in English proficiency. The course guides students through a structured path focusing on key areas of language development, including reading comprehension, writing skills, grammar practice, pronunciation improvement, and vocabulary expansion. Through interactive lessons, practical exercises, and targeted training, students will enhance their ability to communicate effectively and confidently in both academic and everyday contexts. This program is designed to support non-native speakers in achieving greater fluency and accuracy in English."
HUM111,English,3,1,"Fall,Spring","This course introduces students to the key principles of effective and efficient academic writing, with a focus on improving written communication in an academic context. Designed for students who study English as a Second Language (ESL), the course provides hands-on practice in the entire writing process, including strategies for brainstorming, focusing ideas, drafting, peer and instructor conferencing, revising, and editing. Topics include an introduction to writing, the writing process, grammar essentials such as subjects and verbs, sentence fragments, essay writing, revising using the four bases, verb forms and subject-verb agreement, pronoun agreement and reference, and the correct use of adjectives, adverbs, and modifiers. Students will also explore various essay modes, including cause/effect and comparison/contrast, learn principles of information literacy, practice summarizing and paraphrasing, and compose source-based and research essays"
HUM412,Technical Writing,3,4,Spring,"This course introduces students to the principles and practices of technical and professional writing. Through analysis of diverse readings and hands-on assignments, students will learn to produce clear, effective, and audience-centered documents used in academic, technical, and workplace settings. Topics include technical communication style, document design, ethics, collaborative writing, and digital communication tools. Assignments will range from emails and instructions to reports and presentations, preparing students to communicate confidently and professionally across a variety of disciplines and real-world contexts."
HUM224,Introduction to Management,3,1,Spring,"This course introduces students to the nature of organizations and the essential role of management in achieving organizational goals. It explores the historical development of management theory, the impact of internal and external organizational environments, and the importance of corporate social responsibility and ethics. With a focus on building practical managerial skills, the course provides a detailed study of the four key functions of management: planning and decision-making, organizing, leading and motivating, and controlling. Through the examination of core principles, techniques, and concepts, students will develop a foundation for effective managerial analysis and decision-making, preparing them to apply these skills in real-world organizational contexts."
HUM125,Selected Topics in Humanities -1,2,2,Spring,
HUM126,Selected Topics in Humanities -2,3,1,Fall,
HUM228,Introduction to Economics,3,1,Spring,"This course provides students with a foundational understanding of economic principles, focusing on the core tools of microeconomic and macroeconomic analysis. Topics include an overview of economics, the distinctions between macroeconomics and microeconomics, positive and normative statements, and factors of production. Students will explore the Production Possibility Frontier (PPF) as a representation of scarcity, analyze demand and supply dynamics and their determinants, and be introduced to elasticity and its various types. The course also covers utility theory—including the difference between marginal and total utility—budget constraints and consumption bundles, production and cost analysis, and the characteristics of different market structures. Through these topics, students will develop the ability to interpret the behavior of households, firms, and governments within the broader economy."
HUM129,Selected Topics in Humanities -3,3,2,Summer,
C-MA110,Math Fundamentals,0,1,"Fall,Spring","This course equips students with foundational knowledge in calculus and algebra, focusing on analytical techniques and mathematical reasoning. Topics include solving equations and inequalities, the concept and behavior of functions, monotonicity, and graphing. Students will study limits, continuity, differentiability, differentiation rules, and the practical meaning of derivatives. Integral calculus covers indefinite and definite integrals and key integration techniques. The algebra component introduces vectors, matrices, determinants, and cross products. Through problem-solving and theoretical exploration, the course builds the core skills required for further study in mathematics, engineering, and the sciences. Note: This course is required for students from the Science section only."
C-MA111,Calculus I,3,1,"Fall,Spring","This course builds students’ practical skills in the differential calculus of single-variable functions. It begins with foundational concepts such as types of functions and curve sketching techniques—including shifts, reflections, and scaling—for polynomials, radical, exponential, logarithmic, and trigonometric functions. Students will solve equations involving exponentials and logarithms, and explore hyperbolic and inverse hyperbolic functions. The course covers limits and continuity, differentiation using definitions and rules, derivatives of inverse trigonometric and hyperbolic functions, higher-order derivatives, and methods such as logarithmic and implicit differentiation. Additional topics include linear approximation, L’Hopital’s Rule, curve analysis using monotonicity and concavity, absolute and local extrema, and optimization. An introduction to integration covers antiderivatives, indefinite and definite integrals, the Fundamental Theorem of Calculus, integration by substitution, and applications such as finding areas between curves, preparing students to apply calculus techniques across mathematical and real-world contexts."
C-MA112,Calculus II,3,1,Spring,"This course introduces students to methods of algebraic integration for complex functions, covering techniques such as integration by parts, trigonometric substitution, and partial fractions. Students will apply these methods to solve differential equations—particularly those modeling physical and social systems—and use sequences and series to compute or approximate numbers and functions. Additional topics include Taylor polynomials, numerical integration, improper integrals, arc length, and surface area of revolution. The course also explores parametric curves, polar coordinates, vectors in three dimensions, dot and cross products, lines, planes, cylinders, quadric surfaces, and cylindrical and spherical coordinates. Through these concepts, students learn to model and analyze geometric objects and dynamic systems using calculus tools."
C-MA213,Discrete Structures,3,2,Fall,"This course introduces students to the fundamental concepts of discrete structures, providing the mathematical foundation essential for computer science and related fields. Key topics include algorithmic complexity with Big-O notation, combinatorial counting methods, and the analysis of recursion and recurrences. Students will explore the elements of formal logic, covering both propositional and predicate logic, along with foundational proof techniques. The course examines relations—including their definitions, properties, and special types—as well as Boolean algebras. An introduction to graph theory covers special graph types, trees, and their practical applications. Throughout the course, emphasis is placed on developing skills in formal reasoning and theorem proving, equipping students to apply discrete mathematical methods in theoretical and computational contexts."
C-ST211,Introduction to Probability and Statistics,3,2,Fall,"This course introduces students to the fundamental concepts of probability and statistics, providing the mathematical foundation for data-driven analysis and inference. Topics include probability axioms, conditional probability, the law of total probability, Bayes’ theorem, independence, discrete and continuous random variables, multiple random variables, and sums of random variables. Statistical concepts such as sample mean, estimation, hypothesis testing, and confidence intervals are also covered, equipping students with the tools needed to perform and interpret basic statistical inference. Through theoretical instruction and practical examples, the course prepares students to apply probabilistic reasoning and statistical methods to real-world problems."
C-PH111,Elementary Physics,3,1,"Fall,Spring","This course builds students’ practical skills in applying fundamental physical principles to solve quantitative problems. Topics include vector analysis of motion, forces, work, and energy; conservation of linear and angular momentum; rotational motion and dynamics of rigid bodies; moment of inertia calculations; simple harmonic motion; and the structure of materials, including elasticity. Through problem-based learning and hands-on exercises, students develop the ability to model, analyze, and solve physics problems across mechanical systems, strengthening their analytical reasoning and mathematical application in physical contexts."
