course_code,prereq_type,prereq_value,prereq_course_code
HUM111,COURSE,,HUM110
HUM412,COURSE,,HUM111
C-MA112,COURSE,,C-MA110
C-MA112,COURSE,,C-MA111
C-ST211,COURSE,,C-MA111
C-PH112,COURSE,,C-PH111
C-MA321,COURSE,,C-CS215
C-MA321,COURSE,,C-MA213
C-CS112,COURSE,,C-CS111
C-CS213,COURSE,,C-CS112
C-CS214,COURSE,,C-CS112
C-CS214,COURSE,,C-PH113
C-CS215,COURSE,,C-CS111
C-CS215,COURSE,,C-MA111
C-CS316,COURSE,,C-CS214
C-DE211,COURSE,,C-ST211
C-DE312,COURSE,,C-CS112
C-AI321,COURSE,,C-CS215
C-AI321,COURSE,,C-ST211
C-CS341,COURSE,,C-CS112
C-CS351,CREDIT_THRESHOLD,Passing 59 Credit Hours,
C-SW311,COURSE,,C-SW312
C-AI311,COURSE,,C-CS219
C-DE324,COURSE,,C-DE312
C-DE324,COURSE,,C-CS218
C-SW312,COURSE,,C-CS112
C-CS218,COURSE,,C-CS213
C-CS219,COURSE,,C-CS112
C-DE413,COURSE,,C-DE312
C-DE421,COURSE,,C-CS112
C-DE421,COURSE,,C-ST211
C-DE414,COURSE,,C-DE312
C-DE422,COURSE,,C-DE421
C-CS417,COURSE,,C-DE312
C-CS443,COURSE,,C-DE312
C-CS442,COURSE,,C-CS316
C-MA425,COURSE,,C-MA112
C-SW423,COURSE,,C-SW311
C-SW421,COURSE,,C-SW312
C-SW422,COURSE,,C-SW421
C-SW425,COURSE,,C-SW312
C-AI422,COURSE,,C-CS215
C-AI422,COURSE,,C-ST211
C-AI415,COURSE,,C-AI311
C-CS435,COURSE,,C-AI311
C-AI412,COURSE,,C-AI311
C-AI413,COURSE,,C-AI412
C-AI424,COURSE,,C-AI311
C-CS495,CREDIT_THRESHOLD,Passing 59 Credit Hours,
C-CS496,CREDIT_THRESHOLD,Passing 59 Credit Hours,
C-TR304,CREDIT_THRESHOLD,Passing 59 Credit Hours,
C-GP411A,CREDIT_THRESHOLD,Passing 80 Credit Hours,
C-GP411B,CREDIT_THRESHOLD,Passing 80 Credit Hours,
